id,user_name,user_privilege,level,reply_count,up_count,down_count,client_type,comment
960529848,腾讯用户1470386848265169,,lv1,0, , ,优酷iku,剧本是这样写，就得这样演啊
960519163,那样芬芳87,,lv50,0, , ,Android Pad客户端,站起来，看到现实后还可以有勇气往前走就是真坚强了！
960397340,腾讯用户1470363596013572,,lv2,0, , ,Android客户端,那个魏谓也太猥琐了吧，老是对安迪说你是喜欢我的，你是爱我的，还要强吻安迪，对人家又搂又抱，恶心死了！猥琐男一个
960343934,,,lv5,0, , ,优酷PC客户端,这电视剧有毒！看的人停不下来。╮(╯-╰)╭
960343726,支付宝用户82001495,,lv13,0, , ,iPhone客户端,这么大年纪了竟然给安排吻戏
960331803,那样芬芳87,,lv50,0, , ,Android Pad客户端,魅力魏巍
960277896,微信用户1470131580672844,,lv4,0, , ,Android客户端,老谭怎么办啊？？好喜欢他
960229701,微博用户1470313180213496,,lv1,0, , ,优酷iku,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UNzc2MzI4.html"" target=""_blank"">王凯"
960226306,优酷用户1470312427650924,,lv3,0, , ,优酷PC客户端,奇点好猥琐
960207875,,,lv6,0, , ,优酷PC客户端,还是 老谭好
960110591,,,lv13,0, , ,Android客户端,怎么看都觉得奇点是猥琐男
960070930,Madina38788262,,lv4,0, , ,iPhone客户端,喜欢樊胜美的请按29
960038614,微博用户1470278589783702,,lv3,0, , ,优酷,发错了
960038318,微博用户1470278589783702,,lv3,0, , ,优酷,感觉奇点大学的时候我就不想说的话，
960037787,微博用户1470278589783702,,lv3,0, , ,优酷,我觉得奇点让安迪害怕
960037522,微博用户1470278589783702,,lv3,0, , ,优酷,老谭多好
959874855,如颖随行爱baby,,lv7,0, , ,Android客户端,那个奇点是不是长歌行演刘玄的那个
959760801,,,lv10,0, , ,优酷PC客户端,不喜欢奇点
959728172,优酷用户1464522243247472,,lv3,0, , ,iPad客户端,，哦，，，“， ，。。。。哦if 吗。烦 蔓越梅。i。 你看哦哦哦&#039;p
959706738,杦桎i98493904,,lv7,0, , ,优酷PC客户端,樊胜美就是行走的人生经
959706437,杦桎i98493904,,lv7,0, , ,优酷PC客户端,樊胜美就是活着的人生大道理
959705354,杦桎i98493904,,lv7,0, , ,优酷PC客户端,看见渣男那戏份就跳过，太渣了，太假了，呕呕呕
959704978,杦桎i98493904,,lv7,0, , ,优酷PC客户端,内个 猥琐男太恶心了，我都要吐了，也不掂量掂量自己有几斤几两的，真恶心，就他那副大叔样，还想和安迪在一起，异想天开，赖蛤蟆想吃天鹅肉，也不 照照自己长什么样子，看他就想吐，搞得我现在都不想看了，要不是为了曲筱绡，安迪，樊胜美，赵医生，还有谭宗明的话我才不看了，越看特越恶心，心机男，猥琐男，渣男，还有小包总啥时候出来啊！！1
959678881,优酷用户1468214304442486,,lv4,0, , ,iPad客户端,现在感觉小邱挺好的
959678230,优酷用户1468214304442486,,lv4,0, , ,iPad客户端,这集四分之一都是讲猥琐男的，你们觉得吗？
