id,user_name,user_privilege,level,reply_count,up_count,down_count,client_type,comment
960648867,BOLG86213218,,lv10,0, , ,优酷PC客户端,３８
960625497,,,lv62,0, , ,Android客户端,日妈看到那个邱莹莹头都疼的，动不动就哭，真恶心
960553186,,,lv34,0, , ,优酷PC客户端,关关不错呢
960532224,,,lv36,0, , ,Android客户端,我只想知道安迪喝的那瓶水多少钱
960519542,一叶知秋cat,,lv16,0, , ,优酷PC客户端,那你告诉我，我哪辆车不扎眼
960329955,微信用户1470331976747103,,lv1,0, , ,Android客户端,安迪喝的水268一瓶呢！
960203546,腾讯用户1469454814616816,,lv7,0, , ,iPad客户端,奇点不错，长相像神经病，共鸣吧
960051076,我叫峰峰11016544,,lv8,0, , ,iPhone客户端,某人还挺帅的
960027723,土豆用户_756841089,,lv7,1, , ,Android客户端,我想一巴掌拍死邱莹莹
959801191,宋小菲菲,,lv3,0, , ,iPad客户端,不错不错
959762064,,,lv18,0, , ,Android客户端,看小关骂邱莹莹真解气，就她这样的不骂她根本就不能长记性
959746169,樱茶竹语梦の印记有69613796,,lv16,0, , ,优酷PC客户端,邱莹莹像神经病
959677806,五个半柠檬C20259453,,lv13,0,1, ,iPhone客户端,其实关关是一个理智、对自己很有定位的人
959471172,温文Genuine,,lv21,0, , ,优酷PC客户端,还没有看后面，我觉得这个男网友不靠谱。
959327839,大橘子皮儿家的球姐,,lv7,0, , ,优酷PC客户端,说得对
959033428,Vivianangel小姐,,lv25,0,1, ,Android客户端,邱莹莹哭的时候好丑，脸都是僵的
958971028,,,lv56,0, , ,优酷iku,已转发评论
958970876,,,lv56,0, , ,优酷iku,已转发评论
958722172,思念58754302,,lv4,0, , ,iPad客户端,如果你也会谈将才帅爆呆了
958721897,思念58754302,,lv4,0, , ,iPad客户端,我们还年轻
958647981,小竹子536000,,lv8,0, , ,优酷PC客户端,编剧没了解过警察怎么询问的吧·····太假了
958562699,腾讯用户14644883182834,,lv10,0, , ,iPad客户端,太脑残了
958477930,注册了是不是就能跳过广告,,lv6,0, , ,优酷PC客户端,听爱国啊盒盒
958362884,腾讯用户1462625232025526,,lv8,0,1, ,优酷PC客户端,这邱莹莹是sb了吧 真是不喜欢
958273983,,,lv8,0, , ,优酷,唉 我去 去日本馆 
958140569,丶尕2烫壶酒11775352,,lv8,0, , ,优酷PC客户端,她喝的是什么呀 水还是酒
958116615,优酷用户1469338197850461,,lv5,0, , ,iPad客户端,美美哒
958116544,优酷用户1469338197850461,,lv5,0, , ,iPad客户端,樊胜美
957988253,腾讯用户1469227371411313,,lv3,0, , ,优酷PC客户端,东鹏特饮倒得给了多少钱赞助啊！植入广告啊！
957985785,腾讯用户1469227371411313,,lv3,0, , ,优酷PC客户端,主要是鼻子整得太难看啦！
957982874,腾讯用户1469227371411313,,lv3,0, , ,优酷PC客户端,水
957981213,腾讯用户1469227371411313,,lv3,0, , ,优酷PC客户端,我也是
957701721,优酷用户1463893854307607,,lv3,0, , ,iPad客户端,，
957382984,负薪reading,,lv9,0, , ,Android客户端,邱莹莹也是傻
957382879,负薪reading,,lv9,0, , ,Android客户端,白主管辣鸡，
957105941,,,lv9,0, , ,优酷,真够丑了这个
957105049,爱的信仰74056089,,lv12,0, , ,iPhone客户端,你个辣鸡
957054781,mahxg123,,lv35,1, , ,优酷iku,邱莹莹真垃圾。下次看你拍的片子我不会再看了
957023176,懒癌01701719,,lv22,0, , ,Android客户端,邱莹莹太讨厌。只知道哭
956382338,双鱼爱恋39796514,,lv13,0, , ,优酷PC客户端,不喜欢邱莹莹这人。热恋双商低我原谅她，为人处世略单纯，而且太简单了。
956319663,,,lv28,0, , ,优酷PC客户端,喜欢安迪，希望能成为像她一样的人才
956250151,土豆用户_719580414,,lv6,0, , ,iPhone客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UNjc2NzY=.html"" target=""_blank"">刘涛"
956021949,,,lv10,0, , ,Android客户端,这个傻缺邱莹莹真烦。
955863955,Royalgenius,,lv29,0, , ,iPad客户端,子跑了两天哈哈v 尺寸-
955714912,腾讯用户88584240,,lv9,0, , ,iPhone客户端,喜欢小曲
955714401,微信用户1469512105225688,,lv3,0, , ,Android客户端,那小白真讨厌
955560180,浅唱离歌46064162,,lv14,0, , ,iPad客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UODg0MTY=.html"" target=""_blank"">杨紫"
955310262,Stp゛,,lv24,0, , ,iPhone客户端,看什么剧都不能看评论。评论会改变你对剧里人物的看法还有部分小事情节 这些情节一定要自己理解
954794177,Paradise91813259,,lv17,0, , ,优酷iku,不可以在电脑什么的上面采集指纹吗。。。。。
954729389,missZaccheo,,lv15,0, , ,优酷PC客户端,邱莹莹 哈可爱
954517435,铃玲喵m,,lv12,0, , ,iPad客户端,讨厌起点
954135408,以前的以后06579441,,lv4,0, , ,优酷PC客户端,莹莹有病又幼稚
953891361,,,lv12,0, , ,iPad客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UNzc2MzI4.html"" target=""_blank"">王凯"
953875000,腾讯用户1469259702741889,,lv2,0, , ,Android客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UODg0MTY=.html"" target=""_blank"">杨紫"
953488295,腾讯用户1467717114038320,,lv4,0, , ,iPad客户端,邱莹莹是邱莹莹，
953450870,王小光M21,,lv29,0, , ,优酷iku,蚯蚓这角色设定是挺惹人烦的，但是
953328097,雪焱在山中,,lv8,0, , ,Android Pad客户端,我也是
953228064,腾讯用户1467867913836441,,lv4,0, , ,iPad客户端,渣男
953137004,,,lv12,0, , ,iPad客户端,。
952897897,jojonal,,lv47,0, , ,优酷PC客户端,已转发评论
952897460,,,lv5,0, , ,iPad客户端,l
952741911,feiwu197849,,lv21,0, , ,iPad客户端,小白太贱了。
952733677,腾讯用户1469010623398111,,lv1,0, , ,优酷,我莫名奇妙的笑了，脑里只有sissone.
952664959,微笑的天使1314520745,,lv5,0, , ,优酷PC客户端,现在有很多人连自己对面是谁都不知道 dium
952310102,ykapp_u5uvgujq,,lv9,0, , ,iPhone客户端,安迪怎么一情绪不好就喝水
952255790,爱你四季不变,,lv3,0, , ,优酷PC客户端,呵呵
952114988,ykapp_i08fjuu3,,lv9,0, , ,iPad客户端,Hi Pamela patio pet shop
952090740,o90189924,,lv6,0, , ,Android客户端,邱莹莹真贱，就知道哭
952047551,人之彻,,lv10,0, , ,优酷PC客户端,水，前面说过她只喝水
952039411,腾讯用户1468987710979841,,lv1,0, , ,优酷PC客户端,邱莹莹真的好烦
952039132,腾讯用户1468987710979841,,lv1,0, , ,优酷PC客户端,已转发评论
952020592,腾讯用户23325930,,lv11,0, , ,优酷PC客户端,我想问一下，安迪每次喝的那瓶是什么吗？
951898432,,,lv35,0, , ,优酷,关关好漂亮啊
951888682,,,lv35,0, , ,优酷,不喜欢曲筱绡，感觉她看不起樊姐，含着金汤匙出身的人根本就不懂穷人的悲哀，希望安迪和老谭在一起
951887833,苡倪,,lv17,0, , ,iPad客户端,已转发评论
951828061,六月浅唱未央歌,,lv14,0, , ,Android客户端,水
951714795,我叫六六10652704,,lv17,0, , ,优酷PC客户端,安迪喝矿泉水好像在喝酒
951698557,Honey-Bobby,,lv7,0, , ,优酷iku,安迪一直喝的白色瓶子是什么
951418488,,,lv12,0, , ,iPhone客户端,最喜欢小曲
951398081,梓山之矢,,lv49,0, , ,iPad客户端,因为经她手所提供的东西不能当证据了
951359567,星宫欣悦,,lv25,0, , ,iPad客户端,死邱莹莹活该
951278559,优酷用户1465081190051944,,lv6,0, , ,iPhone客户端,不能更讨厌邱莹莹了 人丑脑子还不漂亮 最讨厌没有之一 娜扎欧阳娜娜都比邱莹莹演的好
951269363,ooStephanieoo44702733,,lv15,0,1, ,Android客户端,樊胜美不是拍照了吗，怎么不给警察看
951214511,冷91316766,,lv12,0, , ,Android客户端,这个蚯蚓我真特么醉了除了惹事就是哭
951174898,米希卡,,lv38,0, , ,优酷PC客户端,邱莹莹真的大学毕业了吗……这双商……
951061817,小天使21626235,,lv7,0, , ,优酷,哼，你可真牛啊，您是导演啊
950981240,土豆用户_410186923,,lv13,0, , ,优酷PC客户端,这邱莹莹真烦
950968637,土豆用户_410186923,,lv13,0, , ,优酷PC客户端,平时最讨厌看有旁白的电视剧或电影了，但这部就还好
