id,user_name,user_privilege,level,reply_count,up_count,down_count,client_type,comment
960697116,微信用户1469460052397767,,lv3,0, , ,iPhone客户端,我说怎么看樊姐这么眼熟。想了好久才想起来，就是为了她去看的华胥引
960594248,优酷用户1467891439340548,,lv3,0, , ,iPad客户端,已转发评论
960403937,,,lv11,0, , ,iPad客户端,邱莹莹太傻太烦了！
960126611,铲屎官大将军_,,lv25,0, , ,优酷iku,啥
960074531,腾讯用户1470202094355483,,lv2,0, , ,优酷,好讨厌邱莹莹和安迪
959920190,多啦V梦i,,lv19,0, , ,优酷PC客户端,看这集学会了电梯自救
959785704,手机用户_465890481,,lv11,0, , ,优酷PC客户端,邱莹莹真傻
959755808,腾讯用户1470202094355483,,lv2,0, , ,iPhone客户端,邱莹莹真是不识好歹
959711295,,,lv15,0, , ,Android客户端,这个旁白我真的忍不住
959569009,,,lv4,0, , ,iPhone客户端,其实大家都很好，也都有各自的缺点。这部戏拍的很真实
959534577,微信用户1469963209632303,,lv4,0, , ,iPhone客户端,这个旁白瞬间出戏
959469666,,,lv32,0, , ,优酷iku,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UODg0MTY=.html"" target=""_blank"">杨紫"
959462464,゛Sebtimental丶暖男范,,lv8,0, , ,优酷PC客户端,呵呵
959461663,゛Sebtimental丶暖男范,,lv8,0, , ,优酷PC客户端,这个6
959394531,温文Genuine,,lv21,0, , ,优酷PC客户端,恕我直言，
959314326,微信用户1470021293596999,,lv4,0, , ,iPhone客户端,还行
958690910,腾讯用户1470008653063960,,lv3,0, , ,Android客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UODg0MTY=.html"" target=""_blank"">杨紫"
958613017,,,lv8,0, , ,优酷,韩剧里面一有酒吧场景 都有这首儿歌
958523999,腾讯用户1464086594264353,,lv4,0, , ,Android客户端,演员别结婚。
958471211,圣战vぜ天下,,lv13,0, , ,优酷,尼玛 会不会用F扳手啊
958399353,veronirca,,lv18,0, , ,优酷PC客户端,脑残 电梯俩的环节
958362266,注册了是不是就能跳过广告,,lv6,0, , ,优酷PC客户端,仇富？
958250137,月飛雪12430104,,lv23,0, , ,Android客户端,哈哈 涛涛气场好强大啊
958242201,那样芬芳87,,lv50,0, , ,Android Pad客户端,是啊！
958242147,那样芬芳87,,lv50,0, , ,Android Pad客户端,引力
958128336,,,lv11,1, , ,Android客户端,曲筱绡就是个讨人厌的富二代，真没看出来她哪里“真实善良”了。她看人家安迪有能力又有钱，就说人家是小三。她倒不知道她和安迪比起来一无能力二无财力，脸蛋也比不过人家，就只剩年龄小了，真要说谁像小三那肯定也是曲筱绡，她是那种典型的绿茶婊
958123990,萌小媛i_748163509,,lv13,0, , ,优酷,在电梯里只有安迪和樊胜美最淡定其他的都啊啊叫
958073720,,,lv6,0, , ,iPhone客户端,潇潇好丑
957941557,腾讯用户1469108168411759,,lv3,0, , ,优酷PC客户端,邱莹莹就是脑残一个
957842106,,,lv76,0, , ,优酷PC客户端,真装逼的电视
957712393,花开微凉梦清扬40912834,,lv11,1, ,1,优酷PC客户端,讨厌邱莹莹，但不讨厌
957622021,腾讯用户1469786289153176,,lv1,0, , ,优酷,werw地顶替村
957422451,爱情公寓爱情公寓琦,,lv20,0, , ,优酷iku,邱莹莹就乌鸦嘴
957362840,,,lv20,0, , ,iPad客户端,讨厌邱莹莹
957216409,,,lv7,0, , ,iPad客户端,和着中国13亿人，没人看了至少3次半阿
956909009,,,lv10,0, , ,iPhone客户端,邱莹莹活出了我们年轻时的样子……
956599969,,,lv14,0, , ,优酷PC客户端,这五个都想要
956599763,,,lv25,0, , ,Android客户端,46亿播放量、惊呆我了！！！
956568596,因为爱情46167541,,lv13,0,1, ,Android客户端,樊姐点赞
956447448,柠檬少女90708043,,lv14,0, , ,Android客户端,讨厌樊胜美
956253593,anotherme14139220,,lv16,0,1, ,iPad客户端,真特么讨厌莹莹！SB！
955939406,kingofcard,,lv18,0, , ,优酷PC客户端,东鹏特饮的广告再出来一次 以后只喝红牛
955920410,微信用户1463389379803585,,lv11,0, , ,Android客户端,被困电梯那里，说在超市买了东西，三只松鼠？！三只松鼠不是只限网购吗
955545524,〃不想拥有太多情绪ヽ_342324322,,lv19,0, , ,优酷PC客户端,!!!!!!无语
955396491,,,lv10,0, , ,Android客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UODg0MTY=.html"" target=""_blank"">杨紫"
955296595,微信用户1469438281573622,,lv4,0, , ,Android客户端,红颜祸水
955054780,微信用户1467178728413863,,lv6,0, , ,iPad客户端,讨厌邱莹莹
954659560,蕊蕊42986746,,lv15,0, , ,iPad客户端,我来评价一下欢乐颂五美：樊胜美永远掐尖儿！关雎尔永远在职场！邱莹莹永远单纯、可爱！曲筱绡心地善良，但表达不出来！安迪永远说别碰我！
954612989,依依24864187,,lv12,0, , ,Android客户端,你们好
954418877,静心禅修88,,lv7,0, , ,iPad客户端,小邱就是傻
954353963,一花一世界73650447,,lv25,0, , ,Android客户端,三只松鼠真下血本了，在我追得三部剧里都是主角呀
954094546,,,lv23,0, , ,Android客户端,棒
954069144,腾讯用户1469284187568551,,lv4,0, , ,优酷PC客户端,玩
954068287,腾讯用户1469284187568551,,lv4,0, , ,优酷PC客户端,xulidedongxi
954028268,ly4everlin,,lv14,0, , ,iPad客户端,太卡
953976114,土豆用户_467573901,,lv4,0, , ,iPad客户端,哈哈哈喜欢涛姐！
953920190,优酷手机用户_my4o8spj,,lv14,0, , ,优酷PC客户端,说的好，剧情而已，第二集了，喜欢上了她们
953607274,,,lv8,0, , ,iPhone客户端,真想骂人，那个丘盈盈噁心死了，喳喳呼呼的
952899420,腾讯用户1468412277931875,,lv7,0, , ,Android客户端,小邱明明用的是杂牌机，怎么用上苹果啦！
952731666,腾讯用户1469010623398111,,lv1,0, , ,优酷,我莫名奇妙的笑了，因为我爱上了sissone.
952728941,腾讯用户1467867913836441,,lv4,0, , ,iPad客户端,呵呵呵
952656215,小小丸子好好吃,,lv50,0, , ,优酷PC客户端,电梯那段才发现真正有用的还是安迪！
952612155,腾讯用户1467515451236777,,lv1,0, , ,Android客户端,比较喜欢曲筱绡，小蚯蚓和关关，曲筱绡幽默搞笑，点子多，为人仗义，关关和小蚯蚓单纯善良
952513910,微信用户1468812931535268,,lv6,0, , ,Android客户端,很期待第二季啊
