id,user_name,user_privilege,level,reply_count,up_count,down_count,client_type,comment
960464130,腾讯用户1464704822765988,,lv7,0, , ,Android客户端,为什么好喜欢奇点，真的喜欢他
960453622,,,lv32,0, , ,优酷PC客户端,林师兄，石百川，奇点，都是特么100一天请的临时演员吗？
960148188,虛幻承諾,,lv10,0, , ,优酷PC客户端,那你不要看了
960028701,萌比男神08725220,,lv2,0, , ,优酷PC客户端,还有小曲
960028563,萌比男神08725220,,lv2,0, , ,优酷PC客户端,我喜欢姚滨，谭总，赵医生
959897836,自己睇,,lv15,0, , ,Android客户端,喜欢曲魔女
959709065,杦桎i98493904,,lv7,0,1, ,优酷PC客户端,其实我感觉姚滨挺好的
959683320,小铺z,,lv19,0, , ,优酷PC客户端,个人股我姑会更好好玩\/
959519535,,,lv31,0, , ,优酷PC客户端,这要是能是最真实的世界就傻眼了。。
959457301,新浪微博75849501,,lv4,0, , ,优酷PC客户端,迷之喜欢奇点耶
959354031,腾讯用户1468036160192787,,lv6,0, , ,Android客户端,欢乐颂是我看过的最真实的电视剧
959333832,,,lv5,0, , ,优酷,国产剧里不错的电视剧 可惜弹幕里太多智障 不是说这个人物讨厌就是那个讨厌的 这个丑那个丑的 大概剧里全部是完美人格全找知名偶像派来演 你们才能满意 呵呵
958966317,土豆用户_837176879,,lv6,0, , ,Android客户端,那王柏川衣服后面好像是湿的
958932171,,,lv47,0, , ,iPad客户端,喜欢老谭，姚滨，讨厌奇点
958931781,,,lv47,0, , ,iPad客户端,感觉奇点抱安迪那一刻好猥琐，
958888898,,,lv7,0, , ,iPad客户端,智障
958849148,觉醒杀戮,,lv23,0, , ,iPad客户端,这妈也是你爱过头 人家努力了那么久你就想让她因为一件破事就落选了？
958659775,,,lv8,0, , ,优酷,这笑好傻。。。。
958551144,双鱼爱恋39796514,,lv13,0, , ,优酷PC客户端,他那么心甘情愿的帮曲筱绡这也间接说明了曲筱绡的能力强大，交际圈广泛
958550312,双鱼爱恋39796514,,lv13,0, , ,优酷PC客户端,为什么奇点长得很像卸了妆的《大鱼海棠》里的鼠婆呢？
958499907,用眼涙叙述悲殇22923463,,lv5,0, , ,iPad客户端,同感
958498646,用眼涙叙述悲殇22923463,,lv5,0, , ,iPad客户端,齐点一幅猥琐样，配安迪差远了。
958460452,腾讯用户1469227371411313,,lv3,0, , ,优酷PC客户端,疯魔乱舞
958458744,腾讯用户1469227371411313,,lv3,0, , ,优酷PC客户端,你睡醒了吗？
958359834,优酷用户1461062769466407,,lv7,0, , ,iPad客户端,已转发评论
958359770,优酷用户1461062769466407,,lv7,0, , ,iPad客户端,已转发评论
957615927,微信用户1462028127276752,,lv5,0,1, ,iPhone客户端,同感
957538323,腾讯用户1463720511569841,,lv8,1,1, ,Android客户端,魏渭这个猥琐的老男人，真讨厌！
957504942,腾讯用户1462373459927783,,lv10,0, , ,iPad客户端,烂好人就是不能做
957503871,腾讯用户1469352764062505,,lv7,0, , ,iPhone客户端,安迪💋
957442906,,,lv20,0, , ,优酷iku,关关哭起来好让人心疼
957191156,腾讯用户1469254698177957,,lv5,0, , ,Android客户端,米雪儿好讨厌啊
956976662,你若一直在我便一直爱09318465,,lv5,1, , ,优酷,关关嫁给我慕容浩天你一定会幸福的
956976176,你若一直在我便一直爱09318465,,lv5,0, , ,优酷,关关太可怜了
956956784,你若一直在我便一直爱09318465,,lv5,0, , ,优酷,关关好可爱哦、。
956913441,,,lv12,0, , ,Android Pad客户端,最看好的一对是哪一对呢，我喜欢赵医生曲筱绡～
956857276,腾讯用户1468297992215547,,lv7,0, , ,iPhone客户端,就是洒脱的性格
956857081,腾讯用户1468297992215547,,lv7,0, , ,iPhone客户端,对呀，挺单纯的
956830353,腾讯用户1468297992215547,,lv7,2, , ,iPhone客户端,其实莹莹也蛮可爱的
956480135,微信用户1463988718778962,,lv8,0, , ,iPhone客户端,没感觉安迪喜欢奇点 奇点自作多情
956376026,彼岸花❀丶美丽的信赖,,lv10,0, , ,Android客户端,一群贱骨头 把安迪捧上天了 又说讨厌丘莹莹讨厌你麻逼啊 ，自己一个个贱的要命，还讨厌这讨厌那，真正惹人厌的是说讨厌别人的人
956178092,SunruizE丶,,lv15,0, , ,优酷,这剧的灵魂是什么？ 是
955921189,雨诺qwq,,lv8,0, , ,优酷PC客户端,为什么你们只支持剧中的人物，和埋怨呢?QAQ
955911350,优酷手机用户_NM6SMk1U,,lv23,0, , ,iPad客户端,12345678910，
955826698,Hotdamnit,,lv37,0, , ,iPhone客户端,长大好累啊 工作好累啊 也道出了我的心声
955680350,kim_奇仔,,lv9,0, , ,优酷,"<img src=""http:\/\/static.youku.com\/v1.0.157\/index\/img\/emotion\/zhongji\/zj_zhi.gif"" alt=""执_扮鬼脸"" title=""执_扮鬼脸"" \/>"
955607136,一起看烟花,,lv35,0, , ,优酷,老谭经营的是一家基金公司吗？
955365602,凯撒92288556,,lv28,0, , ,优酷,从这么多剧情看下来认为魏渭人品不错，很多时候魏渭有机会可魏渭还是没有强求。
955263410,,,lv33,0, , ,优酷PC客户端,我也是这么觉得 
955156929,我非你杯茶゛,,lv5,0, , ,优酷PC客户端,怎么邱莹莹的手机换来换去的，一会苹果，一会不认识
