id,user_name,user_privilege,level,reply_count,up_count,down_count,client_type,comment
960719923,微信用户1461524825835929,,lv3,0, , ,iPhone客户端,已转发评论
960564817,小宝路人甲,,lv15,0, , ,iPad客户端,我说句不好听的话，你们有什么资格骂人家。有本事你们去演戏啊!去当明星啊!
960436014,优酷用户1468214304442486,,lv4,0, , ,iPad客户端,人家有钱呗
960435807,优酷用户1468214304442486,,lv4,0, , ,iPad客户端,就邱莹莹最讨厌，人家喜欢运动跟着安迪去，就嚣张的说叫她偶像
960434370,优酷用户1468214304442486,,lv4,0, , ,iPad客户端,同意，差不多的年龄，还比小关大，一点都没有当榜样的模子
960336064,一叶知秋cat,,lv16,0, , ,优酷PC客户端,可以去看琅琊榜了
960220772,腾讯用户1469958079092933,,lv3,0, , ,Android客户端,挺好看的😊
960147269,优酷用户146967363313197,,lv5,0, , ,iPad客户端,噢
959615084,蹦哒的小蚂蚁02211896,,lv11,0, , ,iPhone客户端,每次广告一来就关静音去干其他事情的是不是只有我一个人，所以从来不知道广告播的什么
959502276,,,lv35,0, , ,优酷PC客户端,嗯
959378519,土豆用户_684587346,,lv7,0, , ,Android客户端,怎么小曲妈妈和樊姐穿的蕾丝上衣一样的
959274681,是呆萌的金马儿呀,,lv40,0, , ,优酷PC客户端,那是你的问题
958898543,梁辰辰67385509,,lv4,0, ,1,优酷PC客户端,里面的人物都好喜欢
958507857,,,lv27,0, , ,iPad客户端,这他吗优酷咋总断网呢
958396203,手机用户_412778251,,lv7,0,1, ,iPhone客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UNjc2NzY=.html"" target=""_blank"">刘涛"
958362001,,,lv22,0, , ,iPhone客户端,白主管丑暴了，我操
958202219,微信用户1469887041161279,,lv5,0,1, ,Android客户端,第四集曲筱绡他妈和
958199549,sunnyup2u,,lv46,0, , ,优酷PC客户端,我觉得就是一部豆逼剧
957696744,优酷用户1462614360259138,,lv9,0, , ,iPad客户端,莹莹
957574745,微信用户1462028127276752,,lv5,0, , ,iPhone客户端,代表樊姐穿的是假货呗
957473791,爱情公寓爱情公寓琦,,lv20,0, , ,优酷iku,这个小白，吃饭的时候，眼睛一直盯着曲筱筱，这个猥琐男，我真不知道说什么。
957459912,腾讯用户1469202130878952,,lv3,0, , ,Android客户端,我还是喜欢安迪
957022133,佳丽妹18943051,,lv5,0, , ,Android客户端,感觉这栋楼只住了他们几个人。
956965769,忝瑱无鞋,,lv6,0, , ,Android客户端,樊姐和小曲的妈一个睡衣
956958717,腾讯用户1469024207236259,,lv7,0, , ,Android客户端,樊姐和曲筱筱妈妈的睡衣一样啊
956810209,,,lv7,0, , ,Android客户端,感觉姚滨对小曲好好啊！！！！比那啥医生好多了，小曲下车的时候他摸着小曲头关心他。哎。。。。。。
956798181,,,lv9,0, , ,优酷PC客户端,为毛线都是苹果手机？打广告？
956555301,lujiuhang,,lv3,0, , ,Android客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UODc2Mjg=.html"" target=""_blank"">王子文"
956520380,土豆用户_722428420,,lv5,0, , ,iPad客户端,好看到爆
956052898,,,lv17,0, , ,Android客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UNjc2NzY=.html"" target=""_blank"">刘涛"
955900917,稳步玩,,lv12,0, , ,Android客户端,可是会听着像济癫……瞬间出戏……
955815097,,,lv6,1, , ,Android客户端,为什么她们用的手机都是一样的 为什么樊姐穿的睡衣和她妈的睡衣一样的 为什么
955632981,落花随流水35556231,,lv7,0, , ,Android客户端,曲筱绡吗？
955631137,爱吃鱼的维尼,,lv13,0, , ,iPad客户端,说的对
955591118,〃不想拥有太多情绪ヽ_342324322,,lv19,0, , ,优酷PC客户端,看看她们现在多好啊
955488079,静心禅修88,,lv7,0, , ,iPad客户端,喜欢樊姐 最讨厌小曲 太做作了，恶心 还模仿我的千宋伊
955284092,微信用户1466772272640277,,lv8,0, , ,Android客户端,蛐蛐搞笑
955176843,,,lv13,0, , ,Android客户端,樊姐真是很好，在我们的少女时代要是有个这么一个姐姐多好！少吃多少亏呀哈哈
955132191,慕容安41400626,,lv16,0, , ,优酷,"<img src=""http:\/\/static.youku.com\/v1.0.157\/index\/img\/emotion\/zhongji\/zj_kun.gif"" alt=""辜战_困"" title=""辜战_困"" \/>"
954746820,诸葛A子墨,,lv14,0, , ,优酷PC客户端,在上海可以上脸书
954705196,寰世,,lv8,0, , ,Android客户端,樊姐和小曲她妈穿同款同色睡衣！！！！
954614902,静心禅修88,,lv7,0, , ,iPad客户端,找安迪帮忙的小曲 不要模仿千宋伊好吗？真做作
954100211,以前的以后06579441,,lv4,0, , ,优酷PC客户端,上扫
954049141,原地复活耶,,lv13,0, , ,优酷PC客户端,关关手好好看
954021067,,,lv14,0, , ,iPad客户端,说。说。做。想。想。谢谢。下。惺惺相惜。。想。想。想。想。谢谢。想。想。。xxxx&#039;x
953937524,爱情公寓爱情公寓琦,,lv20,0, , ,优酷iku,小白就是一个猥琐男，吃饭时总是看小曲，就连走的时候还要看上几眼
953861819,,,lv12,0, , ,iPad客户端,。
953856358,,,lv12,0, , ,iPad客户端,好看
953505319,,,lv24,0, , ,iPad客户端,&#039;p。p&#039;
953352407,,,lv45,0, , ,优酷PC客户端,发春的女生 都是白痴 被抛弃又想不开
953272056,超哥hyj,,lv18,0, , ,iPad客户端,可以
953217727,無袔V取玳,,lv12,0, , ,优酷,安迪就是个半残，除了工作什么都不会
953187191,优酷用户1468900908369478,,lv6,0, , ,iPad客户端,讨厌小白
952775615,腾讯用户1467867913836441,,lv4,0, , ,iPad客户端,好好看
952732165,腾讯用户1469010623398111,,lv1,0, , ,优酷,我莫名奇妙的笑了，因为我等到了sissone.
952668559,ykapp_2gdmqbf1,,lv7,0, , ,优酷,关关瘦的像油条
952104848,ykapp_0ugymep7,,lv30,0, , ,Android客户端,讨厌
951969851,,,lv20,0, , ,Android客户端,我认识的海龟从不在生活中拽洋文，都是在专业领域，因为有的专业词汇他们不懂中文咋说。
951967606,,,lv20,0, , ,Android客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UODg0MTY=.html"" target=""_blank"">杨紫"
951966743,,,lv20,0, , ,Android客户端,一开始她从国外回来，虎视眈眈要争公司，还以为有多大本事呢。
951964347,,,lv20,0, , ,Android客户端,安迪到底是搞财务的，还是做市场的？
951934041,雪焱在山中,,lv8,0, , ,Android Pad客户端,恩
951538614,,,lv34,0, , ,优酷PC客户端,好看，不错，我喜欢
951431168,雪菲806,,lv22,0, , ,iPad客户端,喜欢曲筱绡。
